id,title,year,cluster,cluster_vec,month,publication,full_text,embed,date,url
0,Structural complexity in fairy tales,1972,Generation,"[1, 0, 0, 0]",January,Paper,"This is an inquiry into the structure of discourse through the investigation of an interesting subset of discourses – Russian Fairy Tales. I assume that the study of discourse is ultimately to be part of a formalized theory of linguistic structure. I shall endeavor to show that any adequate theory of the structure of fairy tales must share many formal properties with the transformational linguistic theory that has so far been proposed by Noam Chomsky and his co-workers. Such a result would be of psychological interest, for it would indicate that an adequate model for the hearer and speaker of the sentences of a language could also be used to describe, at least in part, the human ability to produce and understand discourses. This might ultimately show that the human mind is an extremely efficient device which uses essentially the same mechanism for constructing and understanding complicated discourses as it uses for constructing and understanding individual sentences.","[ 8.94353092e-02  6.85319304e-03  4.04753387e-02  4.69935834e-02
 -2.27973741e-02 -7.54745305e-03  2.85733230e-02 -5.65851219e-02
  1.06778674e-01 -8.87408759e-03 -1.01636827e-01  3.58061343e-02
 -5.13321124e-02  8.15810487e-02  5.43230474e-02 -7.16224015e-02
 -2.50700582e-02  2.22223718e-02  4.52637374e-02 -1.80675592e-02
  1.16687283e-01  1.35701718e-02  4.18629348e-02 -5.11363323e-04
 -2.74816491e-02 -6.82553947e-02 -7.65994340e-02 -6.90300614e-02
  2.58438457e-02 -2.30785534e-02  1.45297190e-02  6.07364364e-02
  7.53418505e-02  1.99860995e-04 -5.13069481e-02  8.29729587e-02
  6.32895380e-02  1.65000781e-02  5.21548018e-02 -1.61203800e-03
 -4.38943170e-02  2.60027424e-02 -2.65814457e-02 -1.27162468e-02
  5.83990291e-02  2.61655170e-02 -9.92975831e-02  2.26695016e-02
 -9.09577161e-02  2.68881619e-02 -1.80286556e-01  5.66995256e-02
  6.71648327e-03  1.08402586e-02  2.05374844e-02  5.92091233e-02
  5.79654127e-02  1.40366033e-02 -6.59646140e-03 -9.46410224e-02
 -1.27858147e-02 -5.33238277e-02  1.33428331e-02  4.14064862e-02
  4.84854393e-02 -2.09103469e-02  4.12095562e-02  4.44142409e-02
 -9.02663171e-02  5.91195971e-02  1.40721947e-02  2.43873186e-02
 -2.86640693e-02 -1.75038800e-02 -7.79163558e-03  4.11216961e-03
 -2.37059966e-02 -8.08481053e-02 -3.70046198e-02  1.30841359e-02
 -2.91730780e-02  3.89283523e-02  4.35199030e-02  1.84136741e-02
 -6.79982975e-02 -2.07925681e-02  3.23264673e-02 -3.86904436e-03
 -6.77234679e-02  2.14939825e-02 -1.67635325e-02 -1.29323706e-01
  3.93803511e-03  7.62484819e-02  8.04722235e-02  3.94646414e-02
 -4.12131920e-02  5.53087983e-03  3.83243971e-02 -4.15321579e-03
  4.44071516e-02  3.85987572e-02  2.18034238e-02 -8.58205259e-02
 -3.03481407e-02 -2.46707872e-02 -7.22179487e-02 -8.37267041e-02
 -4.19810414e-02 -9.03050601e-03 -3.43147554e-02 -3.37232836e-02
  4.78410814e-03  1.16215064e-03  3.49267609e-02 -1.58537254e-02
 -9.67141986e-03 -3.01999059e-02  7.39502674e-03  3.00787408e-02
  1.57535538e-01  7.82767236e-02  4.48607914e-02  7.64757469e-02
  3.75961065e-02 -9.94608458e-03  3.58679406e-02  2.54165150e-33
  2.69017592e-02  4.43543866e-02  4.36196988e-03  5.34753464e-02
  3.97622436e-02  9.72947292e-03  2.97986856e-03 -7.70277604e-02
  2.18784679e-02  4.67226990e-02 -1.66216828e-02  1.05392225e-01
 -6.90803081e-02 -2.34847553e-02 -2.99090985e-02  4.95639928e-02
 -7.13478178e-02  2.79835537e-02 -2.11184844e-02  3.45949270e-02
  5.72168306e-02  1.04356788e-01 -3.38548161e-02 -3.48366499e-02
 -4.54005636e-02  1.23008098e-02  1.01523854e-01 -7.78261870e-02
 -6.04859553e-02 -1.63648394e-03 -3.68256569e-02 -2.55185068e-02
 -3.58443186e-02 -2.48929467e-02  3.29726487e-02 -8.27269703e-02
 -1.82939373e-04 -4.08959091e-02  2.53235679e-02  5.98019105e-04
  2.88966261e-02 -7.28616342e-02  4.64531966e-03  2.48122253e-02
 -2.94798031e-03  2.37045977e-02 -2.53001377e-02  2.41627973e-02
 -8.81289020e-02 -6.87892083e-03 -2.82629598e-02 -8.53040069e-03
 -2.38266792e-02 -1.38001386e-02  9.95761529e-02  3.78406867e-02
 -3.01495418e-02 -5.78661971e-02  5.72411641e-02 -3.17489989e-02
  2.17623636e-02 -7.23923072e-02  2.87636593e-02 -5.61849400e-02
  8.21303576e-02 -6.27538702e-03 -9.68854502e-02 -3.41240540e-02
  4.28180583e-02  1.52142355e-02 -4.05574823e-03 -1.74343623e-02
 -9.39998478e-02  4.97642383e-02 -4.14172634e-02 -3.63646708e-02
  1.04313400e-02 -1.80439483e-02 -1.28385639e-02  7.33063817e-02
 -5.01476116e-02  1.74699374e-03  3.38082835e-02  2.00275294e-02
  1.51988901e-02 -6.82481006e-02  2.07274570e-03 -7.52813816e-02
 -2.79459022e-02 -3.01464982e-02 -3.26401666e-02 -4.03383747e-02
  3.40983644e-02 -1.03789218e-01 -2.26774961e-02 -5.12459738e-33
 -4.41758186e-02 -8.88413284e-03 -5.87017164e-02  8.98917541e-02
 -2.35279538e-02 -5.28837107e-02  6.62347442e-03  6.07157387e-02
  4.58612517e-02 -4.82611135e-02 -1.07485704e-01 -5.65173067e-02
  5.97232953e-02 -5.82677871e-02  5.38465157e-02  1.02366284e-02
  1.13428578e-01  5.13313897e-02  1.67115238e-02  3.59734334e-02
  3.59905884e-02  6.13149852e-02 -1.00762524e-01  5.60154393e-02
 -2.54517905e-02  1.20955305e-02  2.01329705e-03 -7.51847327e-02
 -7.76877403e-02  7.20558986e-02  3.82876359e-02 -7.82519802e-02
 -2.96471827e-02  4.10219282e-02 -8.52668379e-03 -4.44103871e-03
  2.74835005e-02  3.68468687e-02 -4.26665507e-02 -4.32089949e-03
 -9.54229943e-03 -5.14097065e-02  2.15645172e-02 -1.08915046e-01
  4.02785763e-02 -5.55639192e-02 -6.04553483e-02  3.18880565e-02
  1.12662753e-02  4.15752791e-02  3.45790274e-02  9.78319254e-03
 -4.96095121e-02 -6.68845698e-02 -3.11555080e-02 -4.39268723e-02
  2.31439248e-02 -1.13220491e-01  9.98978019e-02  4.29079402e-03
  2.37991158e-02  4.86532189e-02  4.40587737e-02 -3.48902829e-02
  1.45229204e-02 -1.15563376e-02 -2.73385420e-02  3.67188193e-02
  2.66648438e-02 -3.72622125e-02  1.82062853e-02 -2.09804513e-02
 -3.15526910e-02  6.05965853e-02 -4.92447475e-03  8.90640765e-02
 -8.61902684e-02 -4.45637442e-02  1.77928898e-03 -3.93789038e-02
  2.90200077e-02 -3.34725380e-02  3.17403823e-02  1.86674378e-03
  5.09644859e-02  2.19879556e-03  1.07865268e-02  2.58766543e-02
 -2.56951479e-03  4.71294820e-02 -6.44275965e-03  3.14099528e-02
  7.53053930e-03  2.25391984e-02 -3.65474820e-02 -4.90964140e-08
 -3.18357460e-02 -8.83720815e-03 -8.19654576e-03  1.01575563e-02
  1.11315222e-02 -5.85412867e-02  2.98663527e-02 -4.87761088e-02
 -9.82679501e-02  9.60697792e-03 -2.79149376e-02  7.38891140e-02
 -3.29712145e-02  9.11318809e-02  2.15823390e-02  3.69856991e-02
  7.90522471e-02  1.12614548e-02 -3.63550298e-02  1.44118955e-02
  1.15417093e-01  3.78614143e-02 -8.47730935e-02 -3.69469263e-02
 -1.10300586e-01  5.94102107e-02 -2.92120371e-02 -2.99695022e-02
  5.30577265e-02  3.71348597e-02  4.24108058e-02  8.59026387e-02
 -7.89035037e-02  4.86947782e-02 -2.85242554e-02 -5.37509937e-03
 -8.02384913e-02 -2.99595501e-02  3.77065651e-02 -6.14250898e-02
  6.91916347e-02 -3.64582837e-02  4.93336916e-02  3.32078002e-02
  5.05746193e-02 -9.39897299e-02 -7.39991814e-02 -1.21168904e-01
 -2.57767942e-02  9.27445740e-02 -1.00613330e-02  8.36252123e-02
 -6.73698261e-02  5.97793236e-02  5.03865862e-03 -1.76810492e-02
  1.91449169e-02  6.30883733e-03 -6.34673685e-02 -6.46667108e-02
  3.10351588e-02  5.97550757e-02  6.59188926e-02 -3.10382918e-02]",1/1/1972,
1,A partial grammar of eskimo folktales,1973,Generation,"[1, 0, 0, 0]",June,Paper,This is a partial generative grammar of covert but empirically discoverable narrative elements. The grammar is a theory which seeks to account for base narrative sequences in well-formed North Alaskan Eskimo folktales. The narrative elements are hierarchically organized into a categorial component with both context free and context sensitive rules. The theory claims some replicability and predictive power.,"[ 6.15837574e-02  6.31652251e-02  8.81164670e-02  3.39963585e-02
  4.47786972e-02 -1.17091984e-02 -9.50784422e-03 -6.94589391e-02
  4.86650094e-02  5.76765276e-02 -6.96456432e-02  8.05700722e-04
  4.08669338e-02 -3.55514288e-02  7.08338097e-02 -1.87132116e-02
 -2.33740229e-02  5.56368008e-02  1.03399940e-02 -7.04673380e-02
  4.74135689e-02  3.51054072e-02 -5.30659817e-02 -2.59962399e-02
  5.07719517e-02  2.82277633e-02  3.21913324e-02 -3.76461484e-02
  3.80553491e-02 -1.41704781e-03 -4.86169830e-02  1.42096607e-02
  3.25024910e-02  3.37441415e-02  6.80062734e-03  1.60710022e-01
  1.30484742e-03 -3.39002279e-03  7.47402105e-03  1.10142291e-01
 -7.71888271e-02  3.66083086e-02  1.71930389e-03  1.82837117e-02
 -2.36379672e-02 -9.47991945e-03 -6.08172901e-02 -3.28116608e-03
 -1.00356102e-01  2.86302976e-02 -4.58879881e-02 -6.83442689e-03
 -1.29123107e-02  2.84796376e-02  2.99349818e-02 -4.83558960e-02
 -2.85682604e-02 -2.77417824e-02  2.95538455e-02 -7.60959163e-02
 -9.37629957e-03 -3.14720497e-02 -4.74117324e-02  9.68036428e-03
  5.05296551e-02 -2.92692389e-02 -1.94736738e-02  7.59358183e-02
 -6.27552941e-02  4.87345364e-03  3.17317955e-02  8.41995403e-02
 -5.71358353e-02  7.94106945e-02 -3.18892896e-02 -5.50581664e-02
  3.75717087e-03 -6.58631101e-02 -1.35765942e-02 -4.37265858e-02
 -4.36424240e-02  3.56479250e-02  6.69240803e-02 -7.63601661e-02
 -3.76796797e-02 -2.59323027e-02 -6.25524111e-03  1.98394731e-02
 -1.59705442e-03  2.80188695e-02  4.38586110e-03 -1.78872034e-01
  1.03266887e-01 -2.98166219e-02  1.64785199e-02  2.07968522e-02
 -6.12861523e-03 -1.27729047e-02  1.42494577e-03  3.48578393e-02
 -4.18150192e-03  2.06103269e-02  2.19251346e-02 -4.29415852e-02
  2.40222905e-02 -7.72999376e-02 -8.05853382e-02 -2.84060333e-02
 -7.56104419e-04 -3.55670191e-02 -9.59466118e-03  6.28397916e-04
 -3.13065797e-02  6.12687431e-02  4.22420464e-02 -2.55281385e-02
 -3.63028562e-03 -5.83654232e-02 -1.59133337e-02 -1.29155340e-02
  8.91801417e-02  1.86784361e-02 -2.35286932e-02  6.23483919e-02
  6.19272105e-02 -6.25297800e-02  6.43488467e-02  1.58306818e-33
  7.23641589e-02  4.80678491e-03 -5.69800548e-02  2.83632651e-02
  7.26985633e-02  1.79796685e-02 -8.25789422e-02 -7.20937774e-02
 -4.39319015e-02  5.11591211e-02 -3.87424082e-02  7.33184293e-02
 -8.78529474e-02  6.53644204e-02  4.69713099e-03  8.86673480e-02
 -8.51388052e-02 -3.95145873e-03  2.38876767e-03  4.33254018e-02
  2.05865037e-02  9.77373570e-02 -2.56911404e-02 -5.61928041e-02
 -1.13878079e-01 -5.88480867e-02  5.97556569e-02 -7.95376971e-02
 -1.82009917e-02  8.10540561e-03 -3.65349390e-02 -7.37859756e-02
  5.43770101e-03  7.41667673e-02 -5.21570537e-03 -4.21797857e-02
  1.94847640e-02 -6.96435496e-02  1.92108620e-02  3.57195400e-02
  7.35030556e-03 -5.19709773e-02 -5.30791655e-02  2.05203425e-02
  1.87572297e-02  2.85226144e-02 -2.10259464e-02  3.94790806e-02
 -2.91353147e-02 -3.54582667e-02  3.59260105e-02  9.63958278e-02
  2.59363037e-02 -7.94077292e-02  2.86831278e-02  3.68960872e-02
  6.32445887e-03 -7.18825962e-03  3.41822878e-02  2.18696352e-02
  6.63868934e-02 -1.09487893e-02  7.77331591e-02 -6.29131198e-02
 -2.64566438e-03  1.08405296e-03 -4.07321844e-03 -1.54645769e-02
  1.01365112e-01 -5.17417081e-02 -1.88639406e-02 -2.91588921e-02
 -6.27079830e-02  6.41057044e-02  6.91006565e-03  9.95787908e-04
  3.26435864e-02 -3.12948674e-02 -5.83967865e-02  1.00946262e-01
 -5.37706241e-02 -4.51183766e-02 -2.39370801e-02  1.04049556e-01
 -3.04036774e-02 -4.35474478e-02  1.34937847e-02 -1.45848375e-02
 -7.86053911e-02 -2.56269029e-03 -2.21358556e-02 -2.88007576e-02
 -2.66027674e-02 -4.69753966e-02  5.38714789e-02 -3.47258700e-33
 -5.94235957e-02 -1.67770498e-02 -6.66302294e-02  1.69443488e-02
 -7.26647526e-02 -1.30373761e-01 -3.13024335e-02  3.07809692e-02
 -2.91406643e-03 -2.54422892e-02 -6.69652149e-02 -5.86346313e-02
  4.28249463e-02  1.56166404e-02  2.45823879e-02 -4.77034375e-02
  7.89562911e-02  9.30605009e-02 -1.43067911e-02 -3.59382555e-02
  5.28928675e-02  2.48418692e-02 -9.92040336e-02  3.23777199e-02
 -7.68613303e-03 -2.79268483e-03 -2.91716922e-02  2.80420128e-02
 -1.60761267e-01 -1.66788716e-02 -1.70404240e-02 -5.06010018e-02
  8.17825198e-02 -1.41901150e-02 -1.24827169e-01 -9.25880298e-03
  2.89432276e-02 -1.91282835e-02 -1.59015469e-02  1.29407523e-02
  4.36530262e-02  3.45610344e-04  2.32627476e-03  1.95019376e-02
 -2.27036439e-02 -2.65913419e-02 -1.84808783e-02  5.49934357e-02
  7.86809698e-02  1.86295975e-02  3.14859353e-04  7.23119825e-02
 -2.01611146e-02 -2.78972946e-02  1.99433137e-02 -2.95258481e-02
 -1.39654307e-02 -5.10283597e-02  7.93984830e-02 -1.29950270e-02
 -1.50790280e-02  9.07345042e-02  3.03773154e-02 -2.56966911e-02
  1.38500914e-01 -7.61485845e-02 -7.98437931e-03 -3.10320240e-02
  6.42583147e-02 -7.45652094e-02 -4.42023715e-03 -1.92544963e-02
 -4.07038443e-02  3.54120098e-02  6.72046095e-02  7.66992122e-02
 -3.68781947e-02 -5.66208698e-02  1.95500976e-03 -5.11587262e-02
 -4.48031016e-02 -1.04022577e-01  5.65276593e-02  2.44775470e-02
  6.67825714e-02  4.77672108e-02  1.89231988e-02  7.20475316e-02
  5.33618554e-02  4.15105261e-02  1.32037541e-02  1.77672841e-02
  7.16942688e-03  7.16727227e-02 -4.48798761e-02 -3.68150381e-08
 -3.83154526e-02 -4.34589162e-02 -2.32067034e-02 -1.52166579e-02
  4.52195741e-02  7.93899149e-02  7.73538202e-02 -2.10036431e-02
 -9.09118280e-02 -1.27103338e-02 -4.47107516e-02  1.09326839e-01
 -7.99063519e-02  2.51647197e-02  5.38422540e-02 -1.16993859e-02
  8.89349431e-02  2.48873346e-02 -7.54911602e-02  3.10566556e-02
  5.80910631e-02  3.18482146e-02 -5.38794436e-02 -2.98072398e-02
 -9.53946039e-02  5.82265966e-02  2.15539872e-03  2.78621260e-02
  1.16704516e-01  1.84059385e-02 -2.04169229e-02  6.75603226e-02
 -1.07188217e-01  8.26434698e-03 -1.03799868e-02  3.09367403e-02
 -4.45358753e-02  6.08064653e-03  7.57439714e-03 -1.02650344e-01
  6.91757128e-02 -2.72359569e-02  4.89418209e-02  5.02081253e-02
  8.13798420e-03 -1.03537152e-02 -2.09107976e-02 -6.04233108e-02
 -1.20287240e-02  3.07527687e-02  1.58700589e-02 -6.94859102e-02
  4.59078094e-03  4.29944918e-02  2.14439481e-02 -6.19391948e-02
 -4.66423221e-02  2.31630448e-02 -2.33369879e-02 -4.75039780e-02
  5.14228188e-04  9.38820764e-02  4.43072766e-02 -1.42961787e-02]",6/1/1973,
2,Notes on a schema for stories,1975,Generation,"[1, 0, 0, 0]",January,Paper,"The chapter discusses that the structure of stories is ordinarily more than pair wise relationships among sentences, and strings of sentences combine into psychological wholes. It also explains the nature of these wholes and presents a simple story grammar that accounts for many of the salient facts about the structure of simple stories and that will serve as the basis for a theory of summarization. The grammar consists of a set of syntactical rules that generate the constituent structure of stories and a corresponding set of semantic interpretation rules that determine the semantic representation of the story. The symbol “+” is used to form two items in a sequence; the symbol “|” is used to separate mutually exclusive alternatives. A “*” following a structure name indicates one or more of those units; for example, A* is one or more As. In the semantic structures the convention is followed that the predicate names are written in the ovals and the arguments of the predicates are pointed to by arrows. The propositions that are the units of the story are simply numbered.","[ 4.91660163e-02  3.66994813e-02  3.23444903e-02  4.06655706e-02
 -1.30464984e-02  7.72263110e-02 -2.22830661e-02 -7.97851291e-03
  1.03884056e-01  1.65318919e-03  6.61677448e-03  8.18736211e-04
  1.04401983e-01  5.36324307e-02  3.44034992e-02  3.38057661e-03
 -3.48754115e-02  3.63408104e-02 -1.79061703e-02 -3.74490172e-02
  9.67837498e-02  2.13311296e-02 -5.03597148e-02  2.90685967e-02
 -1.09757250e-02  3.86479795e-02 -8.59353244e-02 -1.85918547e-02
  3.04869823e-02  9.59980022e-03 -3.49680148e-02  2.57279109e-02
  1.19116008e-01  3.45657803e-02  7.62960594e-03 -4.27187746e-03
  1.76552050e-02  2.92217769e-02  1.83583479e-02  1.56189846e-02
 -2.51863152e-02  9.85561963e-03  2.59506945e-02  3.13080996e-02
  8.23863503e-03  9.77995060e-03 -1.23582095e-01 -1.91125534e-02
 -9.46038663e-02  5.47091812e-02 -1.11042939e-01  8.86993483e-02
 -8.94289911e-02  3.80490199e-02  4.83438596e-02  8.39729086e-02
 -3.16824950e-02  1.12015093e-02 -1.16776275e-02 -1.38996944e-01
 -3.01861875e-02 -4.09760177e-02 -3.12401559e-02  2.11647246e-02
  6.89316317e-02 -8.88212100e-02 -2.84345672e-02  6.86821193e-02
 -3.10704280e-02  5.33539429e-02 -2.34072767e-02  7.57964933e-03
  3.27171981e-02  4.99340631e-02 -2.12864690e-02  5.49814180e-02
  4.57801223e-02 -2.86027044e-02 -9.24407877e-03 -5.83033524e-02
 -8.55596289e-02 -3.19557562e-02  2.66096927e-02  9.38270707e-03
 -1.29541541e-02  1.03670619e-02  3.18993032e-02 -5.75697869e-02
 -9.63254645e-03  3.88845094e-02 -3.17195691e-02 -1.58419132e-01
  4.52013984e-02  5.35549782e-02  6.34998828e-02  6.95932284e-02
 -5.35812788e-02 -3.17047313e-02 -9.32693481e-03  1.11074848e-02
  8.27943981e-02  8.58832225e-02  6.04209863e-02 -4.41865511e-02
  7.22323498e-03 -9.43541676e-02 -7.28814229e-02 -5.44513240e-02
 -5.65788820e-02 -7.49623924e-02  9.61510837e-03  3.82263698e-02
 -1.86236743e-02 -8.98015033e-03  2.80442461e-02 -4.12387252e-02
  2.49057319e-02 -2.71867551e-02  5.73778264e-02 -3.60433571e-02
  1.03210509e-01  1.80503111e-02  1.41317490e-02  7.24613294e-02
 -2.17715669e-02 -4.24384102e-02  4.16852087e-02  4.15158560e-33
 -6.16685627e-03 -3.36662587e-03 -5.53741865e-02  2.43358593e-02
  4.45673950e-02  3.45136113e-02 -5.98344132e-02  6.44029528e-02
 -5.53744249e-02  7.49155506e-02 -3.99136730e-02  8.76120850e-03
 -4.92696231e-03  6.20280728e-02 -4.42798510e-02 -3.35594011e-03
 -8.94053653e-03  5.84138616e-04 -2.73728613e-02  2.25787275e-02
  3.96873424e-04  3.68330330e-02 -2.76063150e-03  3.33543010e-02
 -2.82800794e-02  2.63352767e-02  2.54719667e-02 -5.24041019e-02
 -8.30286294e-02  1.34042802e-03 -2.20504869e-02 -6.32124767e-02
 -2.28434447e-02 -4.97405753e-02  5.59220389e-02  2.83240080e-02
 -1.76333841e-02 -4.76850308e-02  6.46372214e-02  2.13414757e-03
 -8.52593407e-02 -3.38714160e-02 -1.22727737e-01 -6.34881780e-02
  3.93600687e-02  6.24650642e-02 -7.19532222e-02  1.48376888e-02
 -2.44093705e-02 -7.57564902e-02  1.53455576e-02  4.45076358e-03
  5.93353771e-02  1.18494611e-02  6.08632416e-02  7.08875135e-02
  1.71809439e-02 -2.82696970e-02 -2.18444653e-02 -9.46762785e-03
  4.85555604e-02  6.13172390e-02  5.82057089e-02  3.59215215e-02
 -5.08662406e-03  3.37560363e-02 -7.76186883e-02 -4.02550865e-03
  1.08468361e-01 -4.64327410e-02 -4.94344309e-02  5.23912087e-02
 -2.66772080e-02  6.38136640e-02 -3.86516452e-02 -8.92974995e-03
  1.66884940e-02  5.15127182e-03 -9.04961303e-02  1.00168385e-01
 -7.25943670e-02 -6.85151550e-04 -6.40182011e-03  2.52929442e-02
 -4.39642332e-02  3.70157557e-03  4.22376469e-02 -4.08566669e-02
 -4.18045893e-02 -1.11694247e-01  5.58041930e-02 -2.43371129e-02
  6.17472746e-04  1.41168816e-03  4.61443253e-02 -5.94954866e-33
 -5.51182255e-02  5.56220040e-02 -1.02185518e-01 -4.24816981e-02
 -6.68661892e-02 -1.06875040e-01 -4.24476452e-02 -5.01526073e-02
  2.36763358e-02 -3.54694873e-02 -7.02203661e-02 -2.38518361e-02
 -1.49224726e-02 -5.02090491e-02  3.73230353e-02 -1.30917244e-02
  2.63027381e-02 -3.14699151e-02 -2.60955957e-03  5.68133779e-02
  5.05367890e-02  6.60711601e-02 -1.32534370e-01  1.63498856e-02
  7.15618357e-02  2.03650184e-02  4.03833836e-02 -1.18630948e-02
 -8.29561502e-02 -6.03373982e-02  6.35127351e-02 -7.76902139e-02
  3.30839567e-02 -2.67711258e-03 -5.62807322e-02 -1.07433446e-01
  2.41886992e-02 -6.26937896e-02 -7.85636250e-03  3.21097597e-02
  4.59024198e-02 -7.37035996e-04  4.73144166e-02  1.23129869e-02
 -2.49457895e-03  2.54056267e-02  3.61267477e-02 -3.80353653e-03
  7.93155003e-03 -7.16194361e-02  2.95845815e-03 -4.68502864e-02
 -3.91109847e-02 -1.29854484e-02 -1.86890252e-02 -2.84445491e-02
 -4.98563750e-03 -4.23777290e-02  6.13368340e-02 -8.13682843e-03
 -2.41798088e-02  8.55584219e-02 -5.86691126e-03  6.06369004e-02
  1.86331477e-02 -9.04236361e-02 -5.22100814e-02 -6.75657913e-02
 -5.51919043e-02 -8.65707025e-02 -6.68237507e-02  8.36769678e-03
 -3.35112475e-02  9.82414261e-02  1.26721188e-05 -2.98147928e-03
 -7.21101686e-02 -6.08787499e-02 -2.48287320e-02 -3.75585668e-02
 -8.18328261e-02 -7.12720677e-02  5.93577139e-02  8.62900019e-02
  2.83285454e-02 -1.76925026e-03  6.19857898e-03  1.12008706e-01
  1.03028966e-02  4.18797433e-02 -3.62539068e-02  5.09688146e-02
  3.40362564e-02  4.57050391e-02 -4.57909927e-02 -6.37161151e-08
 -9.41228122e-02 -8.04486722e-02 -2.82535516e-02 -3.98324095e-02
  5.40590938e-03  2.30910946e-02  5.34541123e-02 -1.58352554e-02
 -3.30696516e-02  2.27322802e-02 -1.06852269e-02  5.73732480e-02
 -1.26776353e-01  9.87932924e-03 -1.53671009e-02  4.44320031e-02
  1.17629804e-01 -4.65642959e-02 -3.88319131e-05  3.25346962e-02
  1.50384009e-01  2.18155459e-02 -6.94593787e-02 -1.38821071e-02
 -4.08977494e-02  5.84565923e-02 -1.65985078e-02  7.38442689e-02
 -6.13325089e-03  1.48295015e-02  5.33291288e-02  6.77962452e-02
  1.77952368e-02  1.95730105e-02 -3.22963037e-02  7.94497505e-02
  6.71127513e-02  3.46665308e-02  2.94492487e-02  5.56601619e-04
  6.78642318e-02 -5.80516011e-02  1.66111179e-02  2.77381875e-02
  2.60641947e-02  1.79078896e-02 -4.75913063e-02 -3.63292582e-02
  2.99521396e-03  1.20854508e-02 -5.55401668e-02 -2.72789914e-02
  3.52590717e-02  1.99916009e-02 -3.79534028e-02 -2.81080659e-02
 -9.51101165e-03  3.55071798e-02  1.03689861e-02 -6.09917045e-02
  6.63843602e-02  1.13897562e-01 -3.50439968e-03 -3.28970738e-02]",1/1/1975,
